Symbol
AAOI
AAON
AAPL
AAT
ACLS
ACMR
ACNB
ADV
AEHR
AEVA
AGL
AIOS
AIP
AKAM
AKAN
AKTX
ALAB
AMBA
AMBQ
AMD
AMN
AMRC
AMSC
ANDG
AOSL
APLD
ARM
ARQQ
ARW
ARX
ASML
ASRT
ASST
ASTH
ASTS
ASX
ASYS
ATEN
ATEX
ATKR
ATLC
ATRA
AVT
AXSM
AXTI
BAND
BBGI
BBNX
BBVA
BE
BELFA
BELFB
BEP
BHE
BIP
BIRK
BKKT
BKSY
BLFS
BNL
BNS
BRKR
BRZE
BTDR
BUD
BW
BWA
BXP
CAL
CARE
CARL
CATY
CBIO
CBRL
CBT
CCRN
CDNS
CECO
CEVA
CGNX
CIEN
CIFR
CLBK
CLDT
CLFD
CLSK
CLYM
CMP
CMPR
CMPS
CNC
CNS
COCO
COOK
CORZ
CRCL
CRDO
CRNC
CRSR
CRWD
CSCO
CSIQ
CSTM
CTS
CUE
CUZ
CVLG
CVLT
CYD
DAL
DAO
DDOG
DELL
DGII
DIN
DKS
DMRC
DOC
DOCN
DTM
DUOT
Downloaded from Barchart.com as of 05-31-2026 07:05pm CDT
EFC
ELA
ELMD
ELVR
ENB
ENLT
ENPH
ENR
EQBK
ERIC
ERNA
ESTC
ETON
ETOR
EUDA
EXTR
EZPW
FBYD
FCEL
FCFS
FEIM
FFIV
FIG
FISI
FLEX
FLNC
FLY
FPS
FROG
FSEA
FSTR
FTK
FTNT
GENB
GEO
GFS
GH
GHRS
GNRC
GSAT
GTX
HAE
HBCP
HCC
HELE
HIMX
HLIO
HLIT
HNGE
HPE
HPP
HPQ
HQY
HR
HST
HSTM
HTLD
HUM
HUT
HZO
IART
ICCC
ICFI
IESC
IHG
IMUX
INFQ
INOD
INTC
INTG
INTT
IONQ
IRDM
ISTR
ITGR
JLHL
JOBY
KFRC
KIDS
KLAC
KLAR
KLIC
KN
KO
KOF
KURA
KZIA
LAKE
LAMR
LB
LEE
LFUS
LGIH
LGN
LINC
LIND
LION
LIVN
LNTH
LOGI
LPTH
LQDA
LRCX
LSCC
LUNR
LXP
LYTS
MAAS
MANE
MBLY
MBUU
MCHP
MDA
MDB
MDLZ
MDV
MEC
MEI
MIAX
MITK
MKSI
MLAB
MLP
MNTS
MO
MOD
MOH
MORN
MOVE
MPTI
MRAM
MRCY
MRDN
MRTN
MRVL
MS
MSBI
MSGE
MSM
MTRN
MTSI
MU
MXL
MYRG
NAMS
NAVN
NBIS
NBIX
NDAQ
NDLS
NESR
NGL
NINE
NNNN
NOK
NOV
NSC
NTAP
NTCT
NTNX
NTSK
NVCR
NVEC
NVT
NVTS
NWPX
NXPI
NXRT
NXT
OCC
OGN
OHI
OKTA
OMCL
ON
OOMA
OPLN
ORA
OSCR
OSPN
OSS
OUST
OUT
P
PAA
PAGP
PANW
PBA
PBT
PCT
PDEX
PENG
PENN
PFG
PGNY
PIII
PJT
PKBK
PKOH
PL
PLD
PLRZ
POET
PRLB
PRM
PRU
PSNL
PSNY
PTRN
PWR
Q
QBTS
QCOM
QLYS
QRVO
QUBT
QUIK
RAL
RBCAA
RBRK
RDW
RDWR
RELL
RFIL
RGTI
RH
RIGL
RIOT
RJET
RKLB
RLYB
RMR
ROG
RXO
S
SAH
SAIL
SANM
SBLK
SEDG
SEPN
SHAZ
SHO
SILC
SIMO
SITM
SLB
SMCI
SMFG
SMTC
SNDK
SNDR
SNOW
SNPS
SOBO
SPIR
ST
STAA
STFS
STM
STRL
STRZ
STX
SVRN
SWKS
SXT
SYNA
TAC
TBCH
TE
TENB
TH
THR
TKR
TOYO
TRGP
TRS
TRST
TRT
TSAT
TSEM
TTI
TTMI
TWO
TWST
TXN
TZOO
ULS
UMAC
UMC
UNIT
UNM
UTI
UVSP
VATE
VCTR
VCYT
VECO
VELO
VIAV
VIRT
VOYA
VOYG
VPG
VRNS
VRSN
VSAT
VSH
VSTS
VTRS
VVX
WATT
WBI
WCC
WERN
WKC
WOLF
WPC
WS
WSBF
WSC
WST
WTTR
WW
WYFI
WYY
XIFR
XMTR
YOU
YPF
ZBRA
ZM
